,Above_50_SMA,Above_200_SMA,my_above_35_SMA,my_above_350_SMA
10y,,,,
1y,0.08467026566899727,0.3571377489169649,0.2639084426285787,0.38151381795216555
3m,0.07307864028051836,0.031045762292295276,0.05410304359424245,0.032314292813732104
3y,0.12477784756538046,0.05523466510495734,0.18838617580393135,0.2705331292000266
6m,0.06772641266180601,0.026661865417966668,0.02774648196816587,0.04474778701059989
avg_down_month,-0.058851651599074704,-0.039095922161599565,-0.06420778100375421,-0.013685025910248484
avg_drawdown,-0.058416013601355336,-0.14674047465765197,-0.05473880739647285,-0.037543463454098105
avg_drawdown_days,40.7037037037037,187.4,42.5,16.91891891891892
avg_up_month,0.0780886682933781,0.0706047662634792,0.07031243789417874,0.07589701754450041
best_day,0.06586965782758636,0.11980106135017543,0.09721815976500636,0.11980707057968853
best_month,0.19632497694997286,0.17219342358103806,0.2486369385410696,0.2054291775025019
best_year,0.42147033687084146,0.5783559762340882,0.6097691857450513,0.6766764086837185
cagr,0.09667108096028998,0.04838717313521257,0.18418823401802142,0.23422479114539807
calmar,0.2829440094370115,0.11422866780063914,0.5711838741869085,0.9685013641786298
daily_kurt,2.6908769950150946,8.323134099900319,4.122520581493966,11.69473658443432
daily_mean,0.1281095093961445,0.08553206828027578,0.20556240518038713,0.24143721207369917
daily_sharpe,0.4803363787650052,0.30998286246130385,0.7641083774669766,0.9771057297201352
daily_skew,-0.33937758498114645,-0.2902402908172836,-0.08058042126011332,-0.1861498475168121
daily_sortino,0.7438684786566768,0.4686156243248188,1.2128212919285362,1.515460848484455
daily_vol,0.2667079052507482,0.2759251514781822,0.26902257748020986,0.24709425472599794
end,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00,2021-06-01 00:00:00
max_drawdown,-0.34166152219529755,-0.4235992073343766,-0.32246749661869745,-0.24184249997834573
monthly_kurt,-0.12241602586197242,0.4544750434923861,0.3989102407593994,2.3639649196763783
monthly_mean,0.13546214697935005,0.07667674963924591,0.21380091257397107,0.2290667091222573
monthly_sharpe,0.4564905095183472,0.3129793338778077,0.7094223654985916,1.1944011979596802
monthly_skew,-0.033603470013541026,-0.0573791967706414,0.11161820371371206,1.2846271850096143
monthly_sortino,0.8508279132652663,0.5479064840286312,1.3569941517532518,3.6752575754118633
monthly_vol,0.2967469074489172,0.2449898167052198,0.30137323401653526,0.19178372352067075
mtd,0.001216642632142495,-0.0009320405797691445,0.0012167272818868202,-0.0025530833794742414
rf,0.0,0.0,0.0,0.0
start,2018-01-01 00:00:00,2018-01-01 00:00:00,2018-01-01 00:00:00,2018-01-01 00:00:00
total_return,0.37032886191558734,0.17506835409927146,0.7810075030632107,1.051299885913851
twelve_month_win_perc,0.7096774193548387,0.6451612903225806,0.8064516129032258,0.8064516129032258
win_year_perc,1.0,0.6666666666666666,0.6666666666666666,1.0
worst_day,-0.07414425089515375,-0.11996245341590706,-0.07413480270185024,-0.12001156392820445
worst_month,-0.1743591504974713,-0.17544077580846817,-0.15528418064560523,-0.08665647277818223
worst_year,0.044645966888124056,-0.002535646493535104,-0.022730649744523324,0.01493173748246246
yearly_mean,0.2165926108177155,0.21425621960864047,0.32074686313552975,0.2990137081954798
yearly_sharpe,1.136620801428835,0.6754017655392217,1.0031275730990745,0.87776606327365
yearly_skew,0.754436784145938,1.6390347361506192,-0.7441538636537457,1.1429040421657657
yearly_sortino,inf,146.35425685164137,24.440562393203543,inf
yearly_vol,0.1905583731579072,0.31722780504961273,0.31974683154667005,0.3406530745564494
